name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Jared Serna|MIA|19|0|3|2|0|7|1|4|17|1|0|2|0|0.235|0.263|0.353
Kody Clemens|MIN|571|26|73|76|9|127|39|122|519|3|7|22|7|0.235|0.296|0.455
Javier Báez|DET|192|3|25|19|1|40|6|43|183|1|2|11|1|0.235|0.266|0.355
Masyn Winn|STL|525|5|54|56|10|112|47|109|464|7|7|21|2|0.235|0.31|0.321
José Ramírez|CLE|529|12|68|51|36|68|59|108|460|6|3|27|0|0.235|0.322|0.372
Everson Pereira|STL|111|5|10|12|1|37|6|23|98|1|5|5|0|0.235|0.309|0.439
Lawrence Butler|ATH|522|17|63|61|10|136|60|107|456|2|2|18|2|0.235|0.325|0.395
José Caballero|NYY|449|14|50|51|34|107|28|95|405|5|7|13|0|0.235|0.292|0.37
Bryan Torres|STL|183|4|17|19|2|38|17|38|162|2|1|1|2|0.235|0.308|0.34
Matt Chapman|SFG|352|7|35|42|0|81|37|72|307|3|5|18|1|0.235|0.324|0.368
Jose Siri|LAA|244|9|35|30|9|79|15|52|222|1|3|10|0|0.234|0.29|0.401
Lars Nootbaar|ARI|314|7|33|31|2|66|42|63|269|2|0|14|1|0.234|0.335|0.372
Connor Wong|BOS|233|4|22|24|3|57|17|48|205|1|6|11|0|0.234|0.31|0.346
Alex Freeland|LAD|269|4|32|21|4|74|32|54|231|2|1|9|0|0.234|0.327|0.325
Elias Díaz|TEX|233|7|20|34|0|57|9|50|214|4|2|13|0|0.234|0.266|0.393
Darell Hernaiz|ATH|157|1|13|9|3|31|16|32|137|1|1|3|0|0.234|0.316|0.277
Jazz Chisholm Jr.|NYY|528|19|69|55|41|155|56|109|467|4|1|16|3|0.233|0.314|0.403
Victor Bericoto|SFG|106|5|9|15|1|29|3|24|103|0|0|4|0|0.233|0.255|0.417
Amed Rosario|NYY|236|10|27|33|2|56|14|51|219|3|0|6|1|0.233|0.275|0.406
Brenton Doyle|CHW|215|4|33|13|14|71|12|47|202|0|0|7|1|0.233|0.276|0.337
Joe Mack|MIA|327|13|39|51|0|82|18|70|301|2|2|9|0|0.233|0.279|0.392
Esmerlyn Valdez|PIT|287|17|40|47|0|108|42|56|241|3|1|14|1|0.232|0.345|0.51
Kazuma Okamoto|TOR|625|33|80|89|1|180|56|130|560|3|6|24|0|0.232|0.307|0.452
Richie Palacios|TBR|388|10|51|53|15|67|44|78|336|2|4|13|2|0.232|0.326|0.372
Sal Frelick|MIL|375|4|36|39|7|38|29|77|332|4|2|17|0|0.232|0.294|0.319
Sterlin Thompson|COL|77|2|7|10|0|21|5|16|69|0|3|4|0|0.232|0.312|0.377
Matt Shaw|CHC|192|5|25|24|4|35|20|38|164|2|3|8|3|0.232|0.323|0.409
Austin Martin|MIN|353|3|42|24|12|66|44|69|298|3|8|17|0|0.232|0.343|0.319
Jake Burger|TEX|603|27|70|89|4|163|55|125|540|4|4|23|0|0.231|0.305|0.424
Kyle Schwarber|PHI|683|45|93|95|3|218|102|131|566|6|8|18|1|0.231|0.353|0.505
Alex Call|LAD|192|1|24|19|1|35|23|37|160|2|7|8|0|0.231|0.349|0.3
Brett Sullivan|COL|230|7|23|32|1|38|13|49|212|3|1|13|1|0.231|0.275|0.401
Miguel Amaya|CHC|246|6|35|26|0|66|23|48|208|1|10|10|0|0.231|0.335|0.365
Hunter Feduccia|LAD|241|3|21|19|0|59|27|48|208|1|1|9|1|0.231|0.321|0.327
P.J. Higgins|CIN|32|0|1|4|0|8|2|6|26|1|0|1|0|0.231|0.276|0.269
Austin Slater|TBR|74|0|6|3|4|21|8|15|65|1|0|3|0|0.231|0.311|0.277
Mike Yastrzemski|ATL|392|12|50|40|1|94|39|80|347|2|4|18|1|0.231|0.314|0.392
Max Muncy|ATH|284|9|31|30|3|91|21|59|256|3|4|9|2|0.23|0.296|0.387
Willy Adames|SFG|505|21|62|51|5|139|37|107|465|1|2|25|1|0.23|0.289|0.424
Joshua Báez|STL|108|7|18|18|2|33|4|23|100|1|3|7|0|0.23|0.278|0.51
Jakob Marsee|MIA|604|11|82|40|23|126|77|116|506|1|14|19|6|0.229|0.346|0.356
Dylan Beavers|BAL|352|7|38|39|5|95|33|72|315|1|2|20|0|0.229|0.305|0.359
Jackson Holliday|BAL|354|7|45|30|8|84|34|72|315|4|0|12|1|0.229|0.3|0.34
Xander Bogaerts|SDP|596|12|65|56|22|108|74|117|513|5|4|18|1|0.228|0.327|0.337
Christian Koss|SFG|210|4|27|12|5|52|9|44|193|0|2|6|0|0.228|0.27|0.321
Salvador Perez|KCR|611|19|48|74|1|118|23|129|566|7|13|23|1|0.228|0.271|0.373
Spencer Torkelson|DET|602|25|64|74|1|190|70|118|518|4|9|27|0|0.228|0.328|0.425
Heriberto Hernández|MIA|489|24|49|64|12|131|52|98|432|1|4|16|1|0.227|0.315|0.435
Royce Lewis|MIN|497|14|49|54|15|125|38|102|451|5|3|24|1|0.226|0.288|0.377
Corey Seager|TEX|419|18|55|47|2|99|45|83|367|3|4|16|0|0.226|0.315|0.417
Oswald Peraza|LAA|366|7|33|25|12|109|17|76|337|1|10|12|2|0.226|0.282|0.335
Luisangel Acuña|CHW|218|1|21|12|17|43|9|46|204|2|1|4|0|0.225|0.259|0.26
Tristan Gray|MIN|188|4|16|29|2|60|10|39|173|3|1|5|0|0.225|0.267|0.324
Coby Mayo|BAL|444|24|63|63|4|134|34|91|404|1|5|18|3|0.225|0.293|0.463
Luke Raley|SEA|287|15|28|39|1|93|15|59|262|1|7|9|1|0.225|0.284|0.439
Gunnar Henderson|BAL|697|24|88|59|10|154|67|139|618|2|10|27|6|0.225|0.31|0.405
Jasson Domínguez|NYY|222|6|22|14|8|48|10|47|209|0|2|12|0|0.225|0.267|0.368
Jake Cronenworth|SDP|410|7|45|36|9|92|36|82|365|0|6|12|1|0.225|0.305|0.321
Drew Cavanaugh|SFG|160|1|9|11|1|47|18|31|138|0|0|3|0|0.225|0.314|0.268
Francisco Lindor|NYM|450|20|59|48|3|90|44|90|401|0|5|11|4|0.224|0.309|0.421
Petey Halpin|CLE|189|4|27|13|10|35|7|39|174|1|2|4|1|0.224|0.261|0.328
Lane Thomas|ATL|374|11|37|40|9|93|44|73|326|2|2|19|0|0.224|0.318|0.383
Brandon Valenzuela|TOR|268|8|28|22|2|68|28|53|237|1|1|9|0|0.224|0.307|0.363
Dylan Crews|WSH|431|12|51|43|11|103|28|88|394|1|8|19|1|0.223|0.288|0.368
Taylor Ward|SEA|606|7|70|35|4|130|99|111|497|3|7|20|1|0.223|0.358|0.31
Edwin Arroyo|CIN|160|0|14|5|1|38|6|33|148|1|3|4|1|0.223|0.266|0.264
José Tena|WSH|287|7|36|25|6|89|27|57|256|1|3|13|2|0.223|0.303|0.371
Colton Cowser|BAL|387|13|40|40|10|121|45|75|337|3|1|9|0|0.223|0.313|0.365
Austin Riley|ATL|614|18|63|70|9|195|46|123|553|4|11|21|2|0.222|0.293|0.365
Samuel Basallo|BAL|399|18|40|54|0|106|32|80|360|3|4|10|1|0.222|0.291|0.406
Denzer Guzman|LAA|290|8|31|33|2|74|16|60|270|0|1|9|0|0.222|0.268|0.344
Enrique Hernández|LAD|87|3|11|11|0|27|6|18|81|0|0|4|0|0.222|0.276|0.383
Walker Jenkins|MIN|81|4|12|10|1|17|7|16|72|0|1|2|0|0.222|0.3|0.417
Kenny Piper|TBR|11|1|4|2|1|3|2|2|9|0|0|0|0|0.222|0.364|0.556
Taylor Walls|TBR|424|2|58|36|21|101|44|80|361|4|3|16|2|0.222|0.308|0.294
John Rave|KCR|149|6|24|13|7|36|16|29|131|0|0|7|1|0.221|0.306|0.427
Daulton Varsho|HOU|526|12|51|40|12|107|39|107|484|1|2|23|3|0.221|0.281|0.355
Ian Happ|CHC|622|24|88|68|4|185|79|118|534|1|7|28|2|0.221|0.329|0.416
Christian Walker|HOU|617|26|67|83|0|145|48|123|557|2|10|25|1|0.221|0.293|0.409
Jacob Gonzalez|PIT|221|6|20|30|2|42|11|45|204|1|4|9|0|0.221|0.273|0.353
Luis Robert Jr.|BAL|230|11|26|26|2|55|24|45|204|2|0|5|0|0.221|0.3|0.407
J.P. Crawford|SEA|476|13|52|38|1|94|63|88|400|3|8|12|0|0.22|0.335|0.348
Turner Hill|SFG|118|1|12|15|2|19|13|22|100|3|2|6|0|0.22|0.314|0.31
Owen Caissie|MIA|330|14|45|58|5|123|27|64|291|8|4|14|0|0.22|0.288|0.412
Victor Caratini|MIN|378|7|28|44|0|78|34|71|323|8|13|9|0|0.22|0.312|0.313
Kameron Misner|KCR|44|0|2|4|3|17|2|9|41|0|0|1|0|0.22|0.256|0.244
Esteury Ruiz|MIA|244|6|37|16|33|78|24|45|205|1|11|12|1|0.22|0.332|0.376
Braden Montgomery|CHW|352|6|44|38|1|70|38|68|310|1|3|15|3|0.219|0.31|0.345
Jeremiah Jackson|BAL|283|9|28|44|2|64|8|59|269|3|2|11|0|0.219|0.245|0.361
Jarred Kelenic|TEX|83|1|5|6|0|31|10|16|73|0|0|2|0|0.219|0.313|0.288
Logan O'Hoppe|TEX|274|4|25|24|0|67|17|55|251|2|3|9|0|0.219|0.275|0.303
Moisés Ballesteros|LAA|339|9|25|35|1|77|28|67|306|4|1|10|0|0.219|0.283|0.34
Zac Veen|COL|74|2|8|12|2|30|7|14|64|0|1|2|1|0.219|0.306|0.375
Kyle Higashioka|TEX|186|7|20|18|0|47|19|36|165|0|2|4|0|0.218|0.306|0.37
Ryan Ward|LAD|60|3|8|12|0|17|5|12|55|0|0|4|0|0.218|0.283|0.455
Ezequiel Tovar|COL|491|12|56|43|8|125|29|98|450|8|2|22|0|0.218|0.264|0.347
Manny Machado|SDP|662|29|81|87|5|139|76|125|574|10|1|22|0|0.218|0.306|0.408
Dansby Swanson|CHC|475|19|81|69|17|111|50|91|418|4|2|16|3|0.218|0.302|0.407
JJ Bleday|CIN|529|23|59|57|6|116|71|98|451|3|3|16|2|0.217|0.326|0.415
Tommy Troy|ARI|143|4|23|9|1|34|13|28|129|0|0|3|1|0.217|0.289|0.349
Marcus Semien|NYM|536|15|55|49|10|100|44|105|484|5|2|14|1|0.217|0.282|0.343
Leody Taveras|BAL|477|8|58|54|11|124|41|92|425|1|1|16|6|0.216|0.286|0.339
Jose Trevino|CIN|152|5|12|19|0|29|1|32|148|1|0|3|0|0.216|0.22|0.338
George Valera|CLE|38|0|1|6|0|8|1|8|37|0|0|3|0|0.216|0.237|0.297
Jake Fraley|TBR|97|2|6|5|3|29|9|19|88|0|0|7|0|0.216|0.289|0.364
Ryan Kreidler|MIN|264|8|31|28|4|60|20|52|241|0|2|9|3|0.216|0.281|0.378
Isaac Collins|KCR|508|6|47|40|8|116|63|93|432|3|7|24|3|0.215|0.323|0.326
Pedro Pagés|STL|206|4|14|12|2|55|12|40|186|2|2|6|0|0.215|0.267|0.312
Kyle Isbel|KCR|312|6|31|24|6|72|15|61|284|2|3|9|1|0.215|0.26|0.317
Kyle Manzardo|CLE|356|13|40|39|0|114|36|67|312|2|6|10|1|0.215|0.306|0.378
Joey Bart|CHW|128|4|13|13|0|35|7|24|112|1|8|4|0|0.214|0.305|0.357
Tanner Murray|CHW|33|1|2|3|0|7|2|6|28|1|1|0|0|0.214|0.281|0.321
Joey Loperfido|HOU|121|1|13|12|1|32|14|22|103|1|1|7|1|0.214|0.311|0.33
Mark Vientos|NYM|287|13|28|39|0|69|15|57|267|2|3|10|0|0.213|0.261|0.397
Zach Dezenzo|HOU|82|1|11|3|1|31|7|16|75|0|0|4|0|0.213|0.28|0.307
Marcelo Mayer|SFG|236|3|19|22|3|49|18|45|211|3|3|10|0|0.213|0.281|0.303
Jahmai Jones|BOS|175|6|19|16|3|56|16|33|155|0|4|6|1|0.213|0.303|0.381
Jake Meyers|HOU|153|3|15|11|1|31|10|30|141|1|1|7|0|0.213|0.268|0.326
Brett Callahan|DET|73|1|3|8|0|25|5|14|66|1|1|3|1|0.212|0.274|0.333
Tyler O'Neill|BAL|260|10|31|23|1|72|27|49|231|0|2|8|0|0.212|0.3|0.377
Nick Yorke|PIT|117|1|7|12|1|26|9|22|104|1|2|4|0|0.212|0.284|0.279
Angel Genao|CLE|134|2|15|6|1|21|10|26|123|0|1|4|0|0.211|0.276|0.293
Héctor Rodríguez|CIN|136|5|14|12|0|37|7|27|128|0|1|3|1|0.211|0.257|0.367
