name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Cole Sulser|TBR|46.3|1|2|11|4.86|1.32|48|6|0|25|47|14|0|197
Cody Laweryson|MIN|16.7|1|1|2|4.86|1.38|18|3|0|9|15|8|2|78
Adrian Houser|SFG|87.0|2|0|1|4.86|1.38|58|15|2|47|91|29|4|382
Cade Gibson|MIA|27.7|2|0|3|4.88|1.37|25|1|0|15|26|12|5|123
Janson Junk|MIA|73.7|4|0|0|4.89|1.36|57|11|2|40|80|20|1|316
Mitch Keller|PIT|108.3|6|0|0|4.9|1.31|83|13|9|59|105|37|8|464
Shawn Armstrong|CLE|33.0|2|0|8|4.91|1.45|33|4|0|18|29|19|2|146
Isaac Mattson|PIT|33.0|0|0|8|4.91|1.52|30|3|0|18|35|15|1|147
Justin Slaten|BOS|25.7|1|0|15|4.91|1.4|34|4|0|14|30|6|0|112
Noah Cameron|KCR|107.7|5|0|0|4.93|1.41|100|14|5|59|115|37|2|473
Ryan Borucki|SFG|23.7|1|0|1|4.94|1.52|15|3|0|13|27|9|2|104
Emmet Sheehan|LAD|92.7|4|0|0|4.95|1.25|104|17|5|51|87|29|7|396
Ryne Nelson|ARI|83.3|3|0|0|4.97|1.24|62|18|6|46|81|22|5|355
Freddy Peralta|NYM|113.7|5|0|0|4.99|1.48|113|17|4|63|120|48|5|512
Kohl Drake|ARI|9.0|0|0|0|5.0|1.44|6|2|0|5|9|4|1|40
Max Rajcic|STL|9.0|0|0|0|5.0|1.33|8|1|0|5|6|6|0|39
Ron Marinaccio|PIT|48.3|1|0|1|5.03|1.49|39|10|0|27|53|19|4|212
Bryan Abreu|HOU|35.7|2|6|6|5.05|1.6|46|7|0|20|29|28|3|161
Brady Basso|ATH|10.7|0|0|1|5.06|1.78|10|1|0|6|16|3|0|51
Jaden Hill|COL|26.7|0|2|11|5.06|1.65|28|2|0|15|27|17|3|127
Dean Kremer|BAL|32.0|1|0|0|5.06|1.19|34|10|2|18|30|8|0|130
Sam Aldegheri|LAA|33.7|3|0|0|5.08|1.43|22|5|0|19|31|17|1|151
Chase Shugart|PHI|33.7|2|0|0|5.08|1.31|42|8|0|19|31|13|3|144
Gavin Collyer|TEX|23.0|1|0|0|5.09|1.48|22|1|0|13|15|19|6|105
Brandon Sproat|MIL|86.7|3|0|0|5.09|1.38|91|16|3|49|77|43|9|373
Cionel Pérez|NYM|40.7|4|0|5|5.09|1.48|40|7|0|23|44|16|0|178
Pierce Johnson|CIN|30.0|2|1|5|5.1|1.37|26|6|0|17|28|13|0|130
Edward Cabrera|CHC|72.3|5|0|0|5.1|1.4|65|14|4|41|72|29|1|309
Jonathan Pintaro|NYM|12.3|0|0|0|5.11|0.73|12|3|0|7|6|3|2|48
Trevor McDonald|SFG|70.3|3|0|0|5.12|1.31|57|7|5|40|69|23|12|310
Robby Ahlstrom|TEX|19.3|3|0|5|5.12|1.45|17|2|0|11|20|8|0|84
Nick Mears|KCR|19.3|2|0|5|5.12|1.5|15|2|0|11|18|11|0|83
Eli Morgan|KCR|19.3|0|1|0|5.12|1.71|16|5|0|11|24|9|2|91
Cade Povich|BAL|19.3|1|0|0|5.12|1.34|12|4|1|11|19|7|1|82
Merrill Kelly|ARI|103.7|8|0|0|5.12|1.48|65|22|7|59|112|41|2|451
Walker Buehler|SDP|100.0|6|0|0|5.13|1.41|91|13|3|57|99|42|4|434
Matt Pushard|STL|7.0|0|0|0|5.14|1.43|6|0|0|4|6|4|1|32
Brett Sullivan|COL|7.0|0|0|0|5.14|1.71|1|1|0|4|10|2|0|31
Lucas Giolito|SDP|29.7|2|0|0|5.16|1.85|18|4|0|17|32|23|1|138
Andrew Nardi|MIA|22.7|3|0|8|5.16|1.41|27|4|0|13|21|11|1|99
Taylor Rogers|MIN|38.3|6|2|9|5.17|1.59|33|3|0|22|44|17|2|174
Zack Littell|WSH|101.0|7|0|0|5.17|1.34|66|25|1|58|104|31|3|434
Joe Boyle|TBR|15.7|0|0|0|5.17|1.09|16|1|1|9|11|6|0|66
Germán Márquez|SDP|47.0|4|0|0|5.17|1.53|34|12|0|27|50|22|2|211
Matthew Liberatore|STL|99.0|5|0|0|5.18|1.52|95|18|4|57|112|38|4|437
Christian Roa|HOU|8.7|0|0|0|5.19|1.96|6|1|0|5|10|7|3|43
Kyle Hart|SDP|38.0|0|0|5|5.21|1.11|33|4|0|22|30|12|3|156
Zebby Matthews|MIN|76.0|4|0|0|5.21|1.32|59|15|8|44|76|24|2|319
Jake Irvin|WSH|51.7|2|0|0|5.23|1.35|58|7|0|30|48|22|6|228
Peyton Pallette|CLE|20.7|1|0|1|5.23|1.6|22|2|0|12|17|16|3|97
Tony Santillan|CIN|31.0|1|5|11|5.23|1.39|28|9|0|18|29|14|0|134
Dax Fulton|MIA|12.0|0|0|0|5.25|1.42|11|0|0|7|9|8|0|50
Connor Seabold|KCR|24.0|1|0|1|5.25|1.71|20|2|0|14|30|11|3|115
Lucas Erceg|KCR|39.3|4|12|3|5.26|1.68|27|5|0|23|43|23|4|179
Jose Quintana|COL|41.0|2|0|0|5.27|1.51|20|6|1|24|45|17|1|181
Drew Sommers|DET|13.7|0|0|6|5.27|1.68|19|2|0|8|15|8|1|63
Chris Bassitt|BAL|56.3|4|0|0|5.27|1.63|37|6|2|33|70|22|8|261
Connor Brogdon|CLE|15.3|2|1|4|5.28|1.11|14|5|0|9|14|3|0|67
Tyler Zuber|MIA|15.3|0|1|5|5.28|1.37|17|4|0|9|18|3|2|69
Jack Leiter|TEX|80.0|3|0|0|5.29|1.44|83|14|2|47|80|35|4|355
Coleman Crow|MIL|18.7|0|0|0|5.3|1.45|10|2|0|11|21|6|1|85
Spencer Strider|ATL|39.0|4|0|0|5.31|1.36|46|9|2|23|33|20|1|165
Emilio Pagán|CIN|20.3|2|10|0|5.31|1.23|21|4|0|12|17|8|2|87
Tyler Mahle|SFG|83.0|2|0|0|5.31|1.45|77|13|2|49|87|33|1|359
Aaron Civale|CHC|79.0|5|0|0|5.35|1.62|63|17|1|47|103|25|2|361
Travis Adams|MIN|31.7|2|2|1|5.4|1.39|36|5|0|19|30|14|0|137
Elvis Alvarado|ATH|30.0|3|2|5|5.4|1.23|36|7|0|18|24|13|1|123
Cody Bolton|HOU|20.0|0|1|0|5.4|1.75|22|3|0|12|21|14|1|95
Adrian Del Castillo|ARI|1.7|0|0|0|5.4|2.4|0|0|0|1|4|0|1|10
Daniel Espino|CLE|5.0|0|0|0|5.4|1.6|9|1|0|3|5|3|0|23
Jose Franco|CIN|16.7|0|0|1|5.4|1.92|13|3|0|10|18|14|0|79
Alek Jacob|SDP|5.0|1|0|0|5.4|1.4|6|1|0|3|5|2|1|23
Anthony Molina|ATL|5.0|0|0|0|5.4|1.4|2|1|0|3|6|1|0|21
Dylan Moore|PHI|1.7|0|0|0|5.4|1.2|0|0|0|1|1|1|1|8
Alan Rangel|PHI|23.3|0|0|0|5.4|1.59|26|4|0|14|25|12|2|108
Tayler Saucedo|LAA|3.3|0|0|2|5.4|1.5|6|1|0|2|5|0|1|15
Robby Snelling|MIA|5.0|0|0|0|5.4|1.8|2|1|0|3|5|4|0|22
Hunter Stratton|PIT|3.3|0|0|0|5.4|1.8|3|0|0|2|6|0|0|15
Garrett Stubbs|PHI|3.3|0|0|0|5.4|1.5|0|0|0|2|4|1|0|15
Miguel Ullola|HOU|5.0|0|0|0|5.4|1.0|7|2|0|3|4|1|0|20
Bruce Zimmermann|STL|5.0|0|0|0|5.4|1.4|2|0|0|3|6|1|0|21
Juan Mejia|COL|46.0|3|4|6|5.48|1.57|47|4|0|28|48|24|2|207
Patrick Corbin|TOR|80.0|3|1|0|5.51|1.54|63|12|1|49|98|25|6|360
Connor Phillips|CIN|27.7|1|1|5|5.53|1.77|28|3|0|17|21|28|3|133
Victor Vodnik|COL|34.0|3|4|5|5.56|1.71|24|3|0|21|39|19|1|155
Tatsuya Imai|HOU|58.0|6|0|0|5.59|1.47|71|9|5|36|49|36|4|258
Drew Pomeranz|CHC|29.0|2|0|8|5.59|1.66|17|7|0|18|32|16|2|135
Matt Gage|SFG|27.3|4|1|5|5.6|1.65|22|6|0|17|28|17|1|126
Brayan Bello|BOS|70.7|2|0|0|5.6|1.54|54|11|1|44|84|25|3|317
Jose Cabrera|ARI|17.7|0|0|0|5.6|1.53|12|3|0|11|20|7|2|81
Rhett Lowder|CIN|77.0|3|0|0|5.61|1.57|65|9|3|48|84|37|4|353
Luis Gastelum|STL|8.0|1|0|1|5.63|1.63|8|3|0|5|9|4|0|35
Max Lazar|PHI|8.0|0|0|0|5.63|1.38|5|3|0|5|8|3|0|35
Miles Mikolas|WSH|102.0|3|0|0|5.65|1.33|52|23|0|64|115|21|1|435
Eric Orze|MIN|41.3|2|1|7|5.66|1.52|36|1|0|26|42|21|2|189
Keegan Akin|BAL|25.3|0|0|0|5.68|1.5|17|3|0|16|29|9|0|114
Ryan Feltner|COL|70.7|3|0|0|5.73|1.46|54|15|5|45|74|29|1|308
Seth Johnson|PHI|15.7|1|0|0|5.74|1.72|20|1|0|10|14|13|1|76
Yusei Kikuchi|LAA|31.0|0|0|0|5.81|1.58|33|3|1|20|35|14|1|142
Aaron Nola|PHI|108.3|3|0|0|5.82|1.45|112|25|6|70|121|36|1|475
Paxton Schultz|WSH|30.7|1|1|0|5.87|1.63|31|5|0|20|39|11|1|143
