name|barrel_pct|hard_hit_pct|woba|xwoba
Andrew Vaughn|5.5|43.6|.378|.336
Yainer Diaz|5.8|36.9|.305|.304
Kyle Tucker|5.3|36.8|.305|.324
Yordan Alvarez|16.5|53.5|.430|.450
Billy Cook|0|20|.192|.149
Will Wilson|25|25|.458|.451
Bryce Johnson|0|7.1|.208|.172
Kevin McGonigle|7.1|36.7|.349|.350
Petey Halpin|5.8|25.6|.255|.290
Luken Baker|0|50|.178|.123
Isaac Collins|5.4|39.7|.305|.296
Jim Jarvis|3.3|37|.254|.268
Jhonny Pereda|3.2|46.8|.322|.343
Jair Camargo|100|100|.631|.407
Matt Chapman|6.6|35.8|.309|.286
Josh Lowe|7.6|36.8|.276|.289
Mitch Garver|9.1|48.1|.278|.301
Esmerlyn Valdez|19.8|48.4|.372|.328
Bryce Teodosio|6.3|21.9|.235|.206
Christian Encarnacion-Strand|16.8|41.1|.350|.345
Dylan Moore|0|33.3|.140|.233
Zack Short|5.9|20.6|.218|.256
Randal Grichuk|12.1|48.1|.350|.330
Edgar Quero|2.7|38.5|.249|.278
Ryan Ward|10.8|28.9|.319|.316
Nick Loftin|4.2|27.9|.321|.299
Jake Rogers|9.8|37|.266|.271
Blake Perkins|4.4|33.8|.236|.264
Freddy Fermin|4.1|29.6|.256|.275
Brent Rooker|15.5|41.9|.294|.312
Jordan Beck|4.4|30.4|.248|.246
Hunter Feduccia|8.6|38.8|.297|.320
Kahlil Watson|7.1|32.1|.266|.246
P.J. Higgins|0|13.6|.245|.287
Trei Cruz|0|50|.000|.097
Stuart Fairchild|0|40|.307|.280
César Salazar|0|33.3|.169|.328
Parker Meadows|3.8|19.2|.288|.250
Alex Bregman|5.9|37.9|.346|.317
Michael Harris II|10.8|48.6|.354|.344
Eric Wagaman|5.7|28.6|.266|.296
Randy Vásquez|0|0|.000|.044
Nick Kurtz|18|57.3|.381|.374
Sean Murphy|7.7|38.5|.314|.264
Addison Barger|0|50|.170|.255
Nate Furman|0|14.3|.202|.241
Alec Burleson|10.8|49.8|.352|.374
Ivan Johnson|0|22.2|.157|.226
Michael Massey|6.1|40.3|.327|.304
Ryan Mountcastle|0|41.7|.309|.301
Jasson Domínguez|5.2|39|.285|.288
Juan Brito|2.6|30.8|.246|.246
Victor Caratini|6.4|39.5|.290|.319
Denzel Clarke|2.7|42.1|.200|.205
Matt Olson|15.1|50.4|.361|.357
Zac Veen|15.8|47.4|.392|.319
Ben Williamson|1.5|33|.289|.290
Mark Vientos|10.4|44.3|.285|.312
Caleb Durbin|2.6|25.7|.316|.290
Hayden Senger|0|23.1|.196|.181
Brendan Donovan|2.7|27.8|.349|.314
Cooper Pratt|3.7|28.5|.317|.315
Omar Martinez|0|50|.297|.111
Josh Naylor|4.5|35.7|.305|.312
Harrison Bader|8.2|41.1|.239|.272
Ryan O'Hearn|7.2|43.5|.343|.321
Jonatan Clase|0|35.7|.390|.247
Cedric Mullins|4.4|32.3|.287|.266
Drew Millas|3.2|21.9|.251|.266
Keibert Ruiz|4.6|36.6|.333|.284
Alex Call|1.8|17.1|.317|.278
Ryan Jeffers|11.3|40.4|.381|.357
Carter Jensen|11.4|45.1|.329|.304
Tristan Gray|6|37.6|.262|.263
Michael Busch|9|39.8|.328|.326
Matt Shaw|5|35.3|.341|.305
Joey Ortiz|4.2|37.2|.313|.297
Iván Herrera|5.3|40.5|.330|.331
CJ Kayfus|21.4|50|.289|.304
Munetaka Murakami|19.5|56.8|.360|.355
Nick Gonzales|3|34.2|.344|.328
Ronald Acuña Jr.|12.4|45.2|.336|.357
Jeff McNeil|1.9|29.9|.306|.308
Max Kepler|8.2|40.8|.260|.277
Gabriel Gonzalez|0|0|.503|.403
Jarren Duran|9.6|40.3|.270|.298
